name,market,funding_total_usd,country_code,region,city,funding_rounds,founded_month,founded_quarter,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,age_first_funding,age_last_funding,status_binary,total_investment
Sysomos,Other," 2,50,000 ",CAN,Toronto,Toronto,1.0,9.0,3.0,2007.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2684931506849315,1.2684931506849315,1,250000.0
T-Networks,Other," 57,50,000 ",USA,Allentown,Allentown,1.0,1.0,1.0,2000.0,0.0,5750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5750000.0,0.0,0.0,0.0,0.0,0.0,5.164383561643835,5.164383561643835,0,5750000.0
T-VIPS,Other," 44,90,000 ",NOR,Oslo,Oslo,1.0,1.0,1.0,2004.0,0.0,4490000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.147945205479452,1.147945205479452,1,4490000.0
Tacit Software,Software ,-   ,USA,SF Bay Area,Palo Alto,1.0,5.0,2.0,1997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.254794520547946,4.254794520547946,1,0.0
Tadcast,Other,-   ,USA,New York City,New York,1.0,1.0,1.0,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Taggle Internet Ventures Private,Games ," 87,50,000 ",IND,Bangalore,Bengaluru,1.0,1.0,1.0,2010.0,0.0,8750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473972602739726,0.473972602739726,0,8750000.0
Taggstr,Other," 50,000 ",USA,SF Bay Area,San Jose,1.0,7.0,3.0,2009.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7671232876712328,0.7671232876712328,0,50000.0
TagMan,Advertising ," 1,35,50,000 ",USA,New York City,New York,4.0,11.0,4.0,2007.0,0.0,12250000.0,0.0,0.0,0.0,0.0,1300000.0,0.0,0.0,0.0,0.0,0.0,0.0,2250000.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.293150684931507,5.810958904109589,1,13550000.0
TagosGreen Business Community,Other,-   ,USA,Houston,Houston,1.0,7.0,3.0,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5342465753424658,0,0.0
Tail-f Systems,Software ," 63,40,000 ",SWE,Stockholm,Stockholm,2.0,1.0,1.0,2005.0,0.0,6340000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2340000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8712328767123287,6.704109589041096,1,6340000.0
